epoch,loss,val_loss
0,0.06473518484439829,0.06176683176210724
1,0.06577916693615672,0.06220938146888295
0,0.06429707314908088,0.06249750785494219
1,0.0654380286365903,0.06187723005648549
2,0.06548790578712888,0.06579873557995437
3,0.06526753349424806,0.06196060034712335
4,0.0638844739618288,0.06204641945181777
5,0.06292114341800539,0.06224212710945129
6,0.06287742287344829,0.06252801610922334
7,0.06293722257614183,0.06197449672817256
8,0.06338811517152862,0.061843388330753764
9,0.06298416589308356,0.061950955202207614
